filename,replication_factor,consistency,workload,threads,overall_runtime_ms,overall_throughput_ops_sec,read_operations,read_averagelatency_us,read_minlatency_us,read_maxlatency_us,read_95thpercentilelatency_us,read_99thpercentilelatency_us,update_operations,update_averagelatency_us,update_minlatency_us,update_maxlatency_us,update_95thpercentilelatency_us,update_99thpercentilelatency_us,cleanup_operations,cleanup_averagelatency_us,cleanup_minlatency_us,cleanup_maxlatency_us,cleanup_95thpercentilelatency_us,cleanup_99thpercentilelatency_us,insert_operations,insert_averagelatency_us,insert_minlatency_us,insert_maxlatency_us,insert_95thpercentilelatency_us,insert_99thpercentilelatency_us,scan_operations,scan_averagelatency_us,scan_minlatency_us,scan_maxlatency_us,scan_95thpercentilelatency_us,scan_99thpercentilelatency_us,read_modify_write_operations,read_modify_write_averagelatency_us,read_modify_write_minlatency_us,read_modify_write_maxlatency_us,read_modify_write_95thpercentilelatency_us,read_modify_write_99thpercentilelatency_us
ycsb_rf1_none_workloadb_threads1.log,1,none,b,1,779.0,1283.6970474967907,948.0,537.8660337552743,281.0,65247.0,868.0,1578.0,52.0,701.9038461538462,424.0,2381.0,1279.0,1461.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_none_workloadb_threads128.log,1,none,b,128,967.0,1034.126163391934,956.0,62487.5679916318,360.0,312575.0,295167.0,307711.0,44.0,44340.11363636364,735.0,305407.0,289791.0,305407.0,128.0,0.0078125,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_none_workloadb_threads16.log,1,none,b,16,549.0,1821.4936247723133,946.0,4653.2737843551795,334.0,130943.0,8399.0,127359.0,54.0,1334.537037037037,630.0,3459.0,2053.0,2429.0,16.0,0.0625,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_none_workloadb_threads2.log,1,none,b,2,652.0,1533.7423312883436,951.0,764.4227129337539,284.0,82623.0,1135.0,1979.0,49.0,762.6530612244898,469.0,2791.0,1051.0,2791.0,2.0,0.5,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_none_workloadb_threads256.log,1,none,b,256,1355.0,738.0073800738007,955.0,183920.5612565445,489.0,589823.0,569343.0,585215.0,45.0,125836.24444444444,659.0,581631.0,565759.0,581631.0,256.0,0.0078125,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_none_workloadb_threads32.log,1,none,b,32,713.0,1402.5245441795232,937.0,11710.405549626468,316.0,180863.0,29183.0,177407.0,63.0,7123.746031746032,509.0,173055.0,3725.0,169599.0,32.0,0.03125,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_none_workloadb_threads4.log,1,none,b,4,569.0,1757.469244288225,952.0,1282.2573529411766,274.0,90111.0,1655.0,3727.0,48.0,1070.8333333333333,529.0,5011.0,2071.0,5011.0,4.0,0.25,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_none_workloadb_threads64.log,1,none,b,64,792.0,1262.6262626262626,941.0,26009.369819341126,336.0,247039.0,228479.0,243583.0,59.0,17838.15254237288,582.0,239871.0,227199.0,232063.0,64.0,0.015625,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_none_workloadb_threads8.log,1,none,b,8,539.0,1855.287569573284,957.0,2168.5224660397075,351.0,133759.0,3395.0,7815.0,43.0,4292.0,581.0,131583.0,5275.0,131583.0,8.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_none_workloadc_threads1.log,1,none,c,1,763.0,1310.615989515072,1000.0,533.362,274.0,64287.0,856.0,1535.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
